Algorithm,Parameters,Silhouette,Calinski,DaviesBouldin,Score
KMeans,{'n_clusters': 2},0.50639755,87558.03947694442,0.6569139143178254,8.605287578714293
KMeans,{'n_clusters': 3},0.5989842,112036.06554550857,0.6972955296194573,11.10529520681235
KMeans,{'n_clusters': 4},0.50857186,107495.54573933626,1.0857524368036817,10.172374000304382
KMeans,{'n_clusters': 5},0.5062805,95883.48943173037,1.1529714783820726,8.941657946606302
KMeans,{'n_clusters': 6},0.52541643,92164.4395181631,0.9891596687201704,8.752700716907327
KMeans,{'n_clusters': 7},0.528502,89015.92697317147,0.9575659527299992,8.472528732044424
KMeans,{'n_clusters': 8},0.5056988,88269.06270071595,0.9311811006033033,8.401423969555266
KMeans,{'n_clusters': 9},0.52818894,88215.91453504836,0.9659506977765489,8.383829699591201
DBSCAN,"{'eps': 0.2, 'min_samples': 5}",0.112162046,4519.145013706972,1.1108293883602722,-0.5467528408551031
DBSCAN,"{'eps': 0.2, 'min_samples': 10}",0.23055397,7172.378248031783,1.1608430616132555,-0.21305126706920952
DBSCAN,"{'eps': 0.2, 'min_samples': 20}",0.25033405,11032.278850083723,1.1998256607754798,0.1537362784645362
DBSCAN,"{'eps': 0.2, 'min_samples': 30}",0.32167968,13422.380370193216,1.2348948361717023,0.4290228823871549
DBSCAN,"{'eps': 0.3, 'min_samples': 5}",0.15400103,6370.605577952786,1.1596808985138538,-0.36861931337291787
DBSCAN,"{'eps': 0.3, 'min_samples': 10}",0.2808322,10134.064368534793,1.1920383472584244,0.10220029083750193
DBSCAN,"{'eps': 0.3, 'min_samples': 20}",0.31633112,13367.499654106501,1.247709064337641,0.4053720194182697
DBSCAN,"{'eps': 0.3, 'min_samples': 30}",0.3146757,15407.01272180055,1.1981528481748565,0.6572241127487897
DBSCAN,"{'eps': 0.4, 'min_samples': 5}",-0.09027752,1005.8795412667286,1.2920969479369544,-1.2817865166126345
DBSCAN,"{'eps': 0.4, 'min_samples': 10}",0.1928635,6872.6516582177655,1.3226899609363483,-0.4425613009567806
DBSCAN,"{'eps': 0.4, 'min_samples': 20}",0.30487955,18698.539763962042,1.3480304471585869,0.8267030754030837
DBSCAN,"{'eps': 0.4, 'min_samples': 30}",0.32488218,22036.445829984666,1.3441288913889529,1.1843978711081862
DBSCAN,"{'eps': 0.5, 'min_samples': 5}",-0.0034240852,2188.6060270282687,1.4669402531435718,-1.2515037356517538
